read_code,brand_name,term_description,term,dose,quantity,group,with_calcium_channel_blocker,with_diuretic
bk62.,Tarka,Tarka 2mg/180mg m/r capsule,Trandolapril,2 mg,,Angiotensin-Converting Enzyme Inhibitors,False,False
bk7..,Candesartan,Candesartan cilexetil,Candesartan Cilexetil,,,Angiotensin-II Receptor Antagonists,False,False
bk71.,Candesartan,Candesartan cilexetil 2mg tablet,Candesartan Cilexetil,2 mg,,Angiotensin-II Receptor Antagonists,False,False
bk72.,Candesartan,Candesartan cilexetil 4mg tablet,Candesartan Cilexetil,4 mg,,Angiotensin-II Receptor Antagonists,False,False
bk73.,Candesartan,Candesartan cilexetil 8mg tablet,Candesartan Cilexetil,8 mg,,Angiotensin-II Receptor Antagonists,False,False
bk74.,Candesartan,Candesartan cilexetil 16mg tablet,Candesartan Cilexetil,16 mg,,Angiotensin-II Receptor Antagonists,False,False
bk75.,Amias,Amias 2mg tablet,Candesartan Cilexetil,2 mg,,Angiotensin-II Receptor Antagonists,False,False
bk76.,Amias,Amias 4mg tablet,Candesartan Cilexetil,4 mg,,Angiotensin-II Receptor Antagonists,False,False
bk77.,Amias,Amias 8mg tablet,Candesartan Cilexetil,8 mg,,Angiotensin-II Receptor Antagonists,False,False
bk78.,Amias,Amias 16mg tablet,Candesartan Cilexetil,16 mg,,Angiotensin-II Receptor Antagonists,False,False
bk79.,Amias,Amias 32mg tablet,Candesartan Cilexetil,32 mg,,Angiotensin-II Receptor Antagonists,False,False
bk7z.,Candesartan,Candesartan cilexetil 32mg tablet,Candesartan Cilexetil,32 mg,,Angiotensin-II Receptor Antagonists,False,False
bk8..,Telmisartan,Telmisartan,Telmisartan,,,Angiotensin-II Receptor Antagonists,False,False
bk81.,Telmisartan,Telmisartan 40mg tablet,Telmisartan,40 mg,,Angiotensin-II Receptor Antagonists,False,False
bk82.,Telmisartan,Telmisartan 80mg tablet,Telmisartan,80 mg,,Angiotensin-II Receptor Antagonists,False,False
bk83.,Micardis,Micardis 40mg tablet,Telmisartan,40 mg,,Angiotensin-II Receptor Antagonists,False,False
bk84.,Micardis,Micardis 80mg tablet,Telmisartan,80 mg,,Angiotensin-II Receptor Antagonists,False,False
bk85.,Micardis,Micardis 20mg tablet,Telmisartan,20 mg,,Angiotensin-II Receptor Antagonists,False,False
bk86.,Micardis,MicardisPlus 40mg/12.5mg tablet,Telmisartan,40 mg,,Angiotensin-II Receptor Antagonists,False,False
bk87.,Micardis,MicardisPlus 80mg/12.5mg tablet,Telmisartan,80 mg,,Angiotensin-II Receptor Antagonists,False,False
bk88.,Micardis,MICARDISPLUS 80mg/25mg tablets,Telmisartan,80 mg,,Angiotensin-II Receptor Antagonists,False,False
bk8w.,Telmisartan,TELMISARTAN+HYDROCHLOROTHIAZIDE 80mg/25mg tablets,Telmisartan,80 mg,,Angiotensin-II Receptor Antagonists,False,True
bk8x.,Telmisartan,Telmisartan+hydrochlorothiazide 40mg/12.5mg tablet,Telmisartan,40 mg,,Angiotensin-II Receptor Antagonists,False,True
bk8y.,Telmisartan,Telmisartan+hydrochlorothiazide 80mg/12.5mg tablet,Telmisartan,80 mg,,Angiotensin-II Receptor Antagonists,False,True
bk8z.,Telmisartan,Telmisartan 20mg tablet,Telmisartan,20 mg,,Angiotensin-II Receptor Antagonists,False,False
bk9..,Eprosartan,Eprosartan,Eprosartan,,,Angiotensin-II Receptor Antagonists,False,False
bk91.,Teveten,Teveten 300mg tablet,Eprosartan,300 mg,,Angiotensin-II Receptor Antagonists,False,False
bk92.,Teveten,Teveten 400mg tablet,Eprosartan,400 mg,,Angiotensin-II Receptor Antagonists,False,False
bk93.,Teveten,Teveten 600mg tablet,Eprosartan,600 mg,,Angiotensin-II Receptor Antagonists,False,False
bk9x.,Eprosartan,Eprosartan 300mg tablet,Eprosartan,300 mg,,Angiotensin-II Receptor Antagonists,False,False
bk9y.,Eprosartan,Eprosartan 400mg tablet,Eprosartan,400 mg,,Angiotensin-II Receptor Antagonists,False,False
bk9z.,Eprosartan,Eprosartan 600mg tablet,Eprosartan,600 mg,,Angiotensin-II Receptor Antagonists,False,False
bkA..,Bosentan,Bosentan,Bosentan,,,Vasodilator Antihypertensive Drugs,False,False
bkA1.,Bosentan,Bosentan monohydrate 62.5mg tablet,Bosentan,62.5 mg,,Vasodilator Antihypertensive Drugs,False,False
bkA2.,Bosentan,Bosentan monohydrate 125mg tablet,Bosentan,125 mg,,Vasodilator Antihypertensive Drugs,False,False
bkA3.,Tracleer,Tracleer 62.5mg tablet,Bosentan,62.5 mg,,Vasodilator Antihypertensive Drugs,False,False
bkA4.,Tracleer,Tracleer 125mg tablet,Bosentan,125 mg,,Vasodilator Antihypertensive Drugs,False,False
bkB..,Olmesartan,Olmesartan,Olmesartan,,,Angiotensin-II Receptor Antagonists,False,False
bkB1.,Olmesartan,Olmesartan medoxomil 10mg tablet,Olmesartan,10 mg,,Angiotensin-II Receptor Antagonists,False,False
bkB2.,Olmesartan,Olmesartan medoxomil 20mg tablet,Olmesartan,20 mg,,Angiotensin-II Receptor Antagonists,False,False
bkB3.,Olmesartan,Olmesartan medoxomil 40mg tablet,Olmesartan,40 mg,,Angiotensin-II Receptor Antagonists,False,False
bkB4.,Olmetec,Olmetec 10mg tablet,Olmesartan,10 mg,,Angiotensin-II Receptor Antagonists,False,False
bkB5.,Olmetec,Olmetec 20mg tablet,Olmesartan,20 mg,,Angiotensin-II Receptor Antagonists,False,False
bkB6.,Olmetec,Olmetec 40mg tablet,Olmesartan,40 mg,,Angiotensin-II Receptor Antagonists,False,False
bkC..,Olmesartan,Hydrochlorothiazide + Olmesartan,Olmesartan,,,Angiotensin-II Receptor Antagonists,False,True
bkC1.,Olmetec,Olmetec Plus 20mg/12.5mg tablet,Olmesartan,20 mg,,Angiotensin-II Receptor Antagonists,False,False
bkC2.,Olmetec,Olmetec Plus 20mg/25mg tablet,Olmesartan,20 mg,,Angiotensin-II Receptor Antagonists,False,False
bkC3.,Olmetec,OLMETEC PLUS 40mg/12.5mg tablets,Olmesartan,40 mg,,Angiotensin-II Receptor Antagonists,False,False
bkCx.,Olmesartan,OLMESARTAN+HYDROCHLOROTHIAZIDE 40mg/12.5mg tablets,Olmesartan,40 mg,,Angiotensin-II Receptor Antagonists,False,True
bkCy.,Olmesartan,Olmesartan + hydrochlorothiazide 20mg/25mg tablet,Olmesartan,20 mg,,Angiotensin-II Receptor Antagonists,False,True
bkCz.,Olmesartan,Olmesartan + hydrochlorothiazide 20mg/12.5mg tablet,Olmesartan,20 mg,,Angiotensin-II Receptor Antagonists,False,True
bkD..,Valsartan,AMLODIPINE + VALSARTAN,Valsartan,,,Angiotensin-II Receptor Antagonists,True,False
bkD1.,Valsartan,AMLODIPINE+VALSARTAN 5mg/80mg tablets,Valsartan,5 mg,,Angiotensin-II Receptor Antagonists,True,False
bkD2.,Valsartan,AMLODIPINE+VALSARTAN 5mg/160mg tablets,Valsartan,5 mg,,Angiotensin-II Receptor Antagonists,True,False
bkD3.,Valsartan,AMLODIPINE+VALSARTAN 10mg/160mg tablets,Valsartan,10 mg,,Angiotensin-II Receptor Antagonists,True,False
bkE1.,Thelin,THELIN 100mg tablets,Sitaxentan Sodium,100 mg,,Vasodilator Antihypertensive Drugs,False,False
bkEz.,Sitaxentan Sod,SITAXENTAN SODIUM 100mg tablets,Sitaxentan Sodium,100 mg,,Vasodilator Antihypertensive Drugs,False,False
bkF..,Aliskiren,ALISKIREN,Aliskiren,,,Renin Inhibitors,False,False
bkF1.,Rasilez,RASILEZ 150mg tablets,Aliskiren,150 mg,,Renin Inhibitors,False,False
bkF2.,Rasilez,RASILEZ 300mg tablets,Aliskiren,300 mg,,Renin Inhibitors,False,False
bkFy.,Aliskiren,ALISKIREN 300mg tablets,Aliskiren,300 mg,,Renin Inhibitors,False,False
bkFz.,Aliskiren,ALISKIREN 150mg tablets,Aliskiren,150 mg,,Renin Inhibitors,False,False
bkG..,Ambrisentan,AMBRISENTAN,Ambrisentan,,,Vasodilator Antihypertensive Drugs,False,False
bkG1.,Volibris,VOLIBRIS 5mg tablets,Ambrisentan,5 mg,,Vasodilator Antihypertensive Drugs,False,False
bkG2.,Volibris,VOLIBRIS 10mg tablets,Ambrisentan,10 mg,,Vasodilator Antihypertensive Drugs,False,False
bkGy.,Ambrisentan,AMBRISENTAN 10mg tablets,Ambrisentan,10 mg,,Vasodilator Antihypertensive Drugs,False,False
bkGz.,Ambrisentan,AMBRISENTAN 5mg tablets,Ambrisentan,5 mg,,Vasodilator Antihypertensive Drugs,False,False
bkH..,Olmesartan,OLMESARTAN+AMLODIPINE,Olmesartan,,,Angiotensin-II Receptor Antagonists,True,False
bkH1.,Sevikar,SEVIKAR 20mg/5mg tablets,Olmesartan,20 mg,,Angiotensin-II Receptor Antagonists,False,False
bkH2.,Sevikar,SEVIKAR 40mg/5mg tablets,Olmesartan,40 mg,,Angiotensin-II Receptor Antagonists,False,False
bkH3.,Sevikar,SEVIKAR 40mg/10mg tablets,Olmesartan,40 mg,,Angiotensin-II Receptor Antagonists,False,False
bkHx.,Olmesartan,OLMESARTAN MEDOXOMIL+AMLODIPINE 40mg/10mg tablets,Olmesartan,40 mg,,Angiotensin-II Receptor Antagonists,True,False
bkHy.,Olmesartan,OLMESARTAN MEDOXOMIL+AMLODIPINE 40mg/5mg tablets,Olmesartan,40 mg,,Angiotensin-II Receptor Antagonists,True,False
bkHz.,Olmesartan,OLMESARTAN MEDOXOMIL+AMLODIPINE 20mg/5mg tablets,Olmesartan,20 mg,,Angiotensin-II Receptor Antagonists,True,False
bkI..,Olmesartan,OLMESARTAN+AMLODIPINE+HYDROCHLOROTHIAZIDE,Olmesartan,,,Angiotensin-II Receptor Antagonists,True,True
bkI1.,Sevikar,SEVIKAR HCT 20mg/5mg/12.5mg tablets,Olmesartan,20 mg,,Angiotensin-II Receptor Antagonists,False,False
bkI2.,Sevikar,SEVIKAR HCT 40mg/5mg/12.5mg tablets,Olmesartan,40 mg,,Angiotensin-II Receptor Antagonists,False,False
bkI3.,Sevikar,SEVIKAR HCT 40mg/10mg/12.5mg tablets,Olmesartan,40 mg,,Angiotensin-II Receptor Antagonists,False,False
bkI4.,Sevikar,SEVIKAR HCT 40mg/5mg/25mg tablets,Olmesartan,40 mg,,Angiotensin-II Receptor Antagonists,False,False
bkI5.,Sevikar,SEVIKAR HCT 40mg/10mg/25mg tablets,Olmesartan,40 mg,,Angiotensin-II Receptor Antagonists,False,False
bkJ1.,Edarbi,EDARBI 20mg tablets,Azilsartan Medoxomil,20 mg,,Angiotensin-II Receptor Antagonists,False,False
bkJ2.,Azilsartan Medoxomil,AZILSARTAN MEDOXOMIL 20mg tablets,Azilsartan Medoxomil,20 mg,,Angiotensin-II Receptor Antagonists,False,False
bkJ3.,Edarbi,EDARBI 40mg tablets,Azilsartan Medoxomil,40 mg,,Angiotensin-II Receptor Antagonists,False,False
bkJ4.,Azilsartan Medoxomil,AZILSARTAN MEDOXOMIL 40mg tablets,Azilsartan Medoxomil,40 mg,,Angiotensin-II Receptor Antagonists,False,False
bkJ5.,Edarbi,EDARBI 80mg tablets,Azilsartan Medoxomil,80 mg,,Angiotensin-II Receptor Antagonists,False,False
bkJ6.,Azilsartan Medoxomil,AZILSARTAN MEDOXOMIL 80mg tablets,Azilsartan Medoxomil,80 mg,,Angiotensin-II Receptor Antagonists,False,False
bkK..,Macitentan,MACITENTAN,Macitentan,,,Vasodilator Antihypertensive Drugs,False,False
bkK1.,Opsumit,OPSUMIT 10mg tablets,Macitentan,10 mg,,Vasodilator Antihypertensive Drugs,False,False
bkK2.,Macitentan,MACITENTAN 10mg tablets,Macitentan,10 mg,,Vasodilator Antihypertensive Drugs,False,False
bkL..,Valsartan,SACUBITRIL+VALSARTAN,Valsartan,,,Angiotensin-II Receptor Antagonists,False,False
bkL1.,Entresto,ENTRESTO 24mg/26mg tablets,Sacubitril/Valsartan,24 mg,,Angiotensin-II Receptor Antagonists,False,False
bkL2.,Valsartan,SACUBITRIL+VALSARTAN 24mg/26mg tablets,Valsartan,24 mg,,Angiotensin-II Receptor Antagonists,False,False
bkL3.,Entresto,ENTRESTO 49mg/51mg tablets,Sacubitril/Valsartan,49 mg,,Angiotensin-II Receptor Antagonists,False,False
bkL4.,Valsartan,SACUBITRIL+VALSARTAN 49mg/51mg tablets,Valsartan,49 mg,,Angiotensin-II Receptor Antagonists,False,False
bkL5.,Entresto,ENTRESTO 97mg/103mg tablets,Sacubitril/Valsartan,97 mg,,Angiotensin-II Receptor Antagonists,False,False
bkL6.,Valsartan,SACUBITRIL+VALSARTAN 97mg/103mg tablets,Valsartan,97 mg,,Angiotensin-II Receptor Antagonists,False,False
blca.,Lotens,Felotens XL 5mg m/r tablet,Guanethidine Monosulfate,5 mg,,Adrenergic Neurone Blocking Drugs,True,False
blcb.,Lotens,Felotens XL 10mg m/r tablet,Guanethidine Monosulfate,10 mg,,Adrenergic Neurone Blocking Drugs,True,False
blct.,Lotens,FELOTENS XL 2.5mg m/r tablets,Guanethidine Monosulfate,2.5 mg,,Adrenergic Neurone Blocking Drugs,True,False
bn7..,Iloprost,Iloprost,Iloprost,,,Vasodilator Antihypertensive Drugs,False,False
bn71.,Iloprost,Iloprost 100micrograms/1mL infusion concentrate,Iloprost,,,Vasodilator Antihypertensive Drugs,False,False
bn72.,Iloprost,Iloprost 10micrograms/mL nebuliser solution 2mL ampoule,Iloprost,,,Vasodilator Antihypertensive Drugs,False,False
bn73.,Ventavis,Ventavis 10micrograms/mL nebuliser solution 2mL ampoule,Iloprost,,,Vasodilator Antihypertensive Drugs,False,False
bn74.,Ventavis,VENTAVIS 10micrograms/mL nebuliser solution 1mL ampoules,Iloprost,,,Vasodilator Antihypertensive Drugs,False,False
bn75.,Iloprost,ILOPROST 10micrograms/mL nebuliser solution 1mL ampoules,Iloprost,,,Vasodilator Antihypertensive Drugs,False,False
f71..,Diazoxide,Diazoxide [endocrine use],Diazoxide,,,Vasodilator Antihypertensive Drugs,False,False
f71x.,Diazoxide,Diazoxide 50mg capsule,Diazoxide,50 mg,,Vasodilator Antihypertensive Drugs,False,False
f71y.,Diazoxide,Diazoxide oral powder,Diazoxide,,,Vasodilator Antihypertensive Drugs,False,False
f71z.,Diazoxide,Diazoxide 50mg tablet,Diazoxide,50 mg,,Vasodilator Antihypertensive Drugs,False,False
gc41.,Dibenyline,Dibenyline 10mg capsule,Phenoxybenzamine Hydrochloride,10 mg,,Alpha-Adrenoceptor Blocking Drugs,False,False
gc51.,Hytrin,Hytrin BPH tablet starter pack,Terazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
gc52.,Hytrin,Hytrin BPH 2mg tablet,Terazosin Hydrochloride,2 mg,,Alpha-Adrenoceptor Blocking Drugs,False,False
gc53.,Hytrin,Hytrin BPH 5mg tablet,Terazosin Hydrochloride,5 mg,,Alpha-Adrenoceptor Blocking Drugs,False,False
gc54.,Hytrin,Hytrin BPH 10mg tablet,Terazosin Hydrochloride,10 mg,,Alpha-Adrenoceptor Blocking Drugs,False,False
gc55.,Hytrin,HYTRIN BPH 1mg tablets,Terazosin Hydrochloride,1 mg,,Alpha-Adrenoceptor Blocking Drugs,False,False
gh57.,Revatio,Revatio 20mg tablet,Sildenafil(Vasodilator Antihypertensive),20 mg,,Vasodilator Antihypertensive Drugs,False,False
gh58.,Revatio,REVATIO 40mg/50mL solution for injection,Sildenafil(Vasodilator Antihypertensive),40 mg/50 ml,,Vasodilator Antihypertensive Drugs,False,False
gh59.,Revatio,REVATIO 10mg/12.5mL solution for injection,Sildenafil(Vasodilator Antihypertensive),10 mg,,Vasodilator Antihypertensive Drugs,False,False
gh5A.,Revatio,REVATIO 10mg/mL oral suspension,Sildenafil(Vasodilator Antihypertensive),10 mg/mL,,Vasodilator Antihypertensive Drugs,False,False
gh75.,Adcirca,ADCIRCA 20mg tablets,Tadalafil (Vasodilator Antihypertensive),20 mg,,Vasodilator Antihypertensive Drugs,False,False
id14.,Tenex,Glutenex biscuits 18x14g,Guanfacine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
idGN.,Tenex,GLUTENEX GF white bread mix 500g,Guanfacine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
ih...,Hypercal,Treatment of hypercalcaemia,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
mb3..,Minoxidil,Minoxidil [androgen alopecia],Minoxidil,,,Vasodilator Antihypertensive Drugs,False,False
mb31.,Minoxidil,Minoxidil 20mg/mL topical liquid,Minoxidil,20 mg/mL,,Vasodilator Antihypertensive Drugs,False,False
mb33.,Minoxidil,Minoxidil 50mg/mL topical liquid,Minoxidil,50 mg/mL,,Vasodilator Antihypertensive Drugs,False,False
mb37.,Minoxidil,MINOXIDIL 5% cutaneous foam,Minoxidil,,,Vasodilator Antihypertensive Drugs,False,False
x001j,Captopril,Captopril+diuretic,Captopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x007H,Lisinopril,Lisinopril+diuretic,Lisinopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x007d,Methyldopa,Methyldopa+diuretic,Methyldopa,,,Centrally-Acting Antihypertensive Drugs,False,False
x00en,Accupro,Accupro 5mg tablet,Quinapril Hydrochloride,5 mg,,Angiotensin-Converting Enzyme Inhibitors,False,False
x00eo,Accupro,Accupro 10mg tablet,Quinapril Hydrochloride,10 mg,,Angiotensin-Converting Enzyme Inhibitors,False,False
x00ep,Accupro,Accupro 20mg tablet,Quinapril Hydrochloride,20 mg,,Angiotensin-Converting Enzyme Inhibitors,False,False
x00eq,Acezide,Acezide tablet,Co-Zidocapt,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x00f0,Capozide,Capozide tablet,Co-Zidocapt,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x00f1,Capozide,Capozide LS tablet,Co-Zidocapt,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x00fw,Renitec,Renitec 5mg tablet,Enalapril Maleate,5 mg,,Angiotensin-Converting Enzyme Inhibitors,False,False
x01CO,Indoramin,Indoramin product,Indoramin,,,Alpha-Adrenoceptor Blocking Drugs,False,False
x01CO,Indoramin,Indoramin,Indoramin,,,Alpha-Adrenoceptor Blocking Drugs,False,False
x01Dk,Thelin,Propantheline,Sitaxentan Sodium,,,Vasodilator Antihypertensive Drugs,False,False
x01OE,Tenex,Glutenex biscuits,Guanfacine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
x01Qg,Perindopril,Perindopril,Perindopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x01RL,Diazoxide,Diazoxide,Diazoxide,,,Vasodilator Antihypertensive Drugs,False,False
x02Sb,Accupro,Accupro,Quinapril Hydrochloride,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x02Sc,Accuretic,Accuretic,Quinapril Hydrochloride,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x02Sd,Acepril,Acepril,Captopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x02TQ,Alphavase,Alphavase,Prazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
x02U9,Apresoline,Apresoline,Hydralazine Hydrochloride,,,Vasodilator Antihypertensive Drugs,False,False
x02UJ,Arfonad,Arfonad,Trimetaphan Camsilate,,,Ganglion-Blocking Drugs,False,False
x02Uy,Baratol,Baratol,Indoramin,,,Alpha-Adrenoceptor Blocking Drugs,False,False
x02VF,Bendogen,Bendogen,Betanidine Sulfate,,,Adrenergic Neurone Blocking Drugs,False,False
x02Wf,Capoten,Capoten,Captopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x02Wj,Carace,Carace,Lisinopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x02Wk,Carace Plus,Carace Plus,Lisinopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x02Wv,Catapres,Catapres,Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
x02YD,Coversyl,Coversyl,Perindopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x02YE,Cozaar,Cozaar,Losartan Potassium,,,Angiotensin-II Receptor Antagonists,False,False
x02Yr,Declinax,Declinax,Debrisoquine Sulfate,,,Adrenergic Neurone Blocking Drugs,False,False
x02Yz,Demser,Demser,Metirosine,,,Alpha-Adrenoceptor Blocking Drugs,False,False
x02Za,Dibenyline,Dibenyline,Phenoxybenzamine Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
x02aO,Dopamet,Dopamet,Methyldopa,,,Centrally-Acting Antihypertensive Drugs,False,False
x02eC,Gopten,Gopten,Trandolapril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x02fA,Hydromet,Hydromet,Methyldopa,,,Centrally-Acting Antihypertensive Drugs,False,False
x02fG,Hypovase,Hypovase,Prazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
x02fH,Hytrin,Hytrin,Terazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
x02fI,Hytrin,Hytrin BPH,Terazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
x02fl,Innovace,Innovace,Enalapril Maleate,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x02fm,Innozide,Innozide,Enalapril Maleate,,,Angiotensin-Converting Enzyme Inhibitors,False,False
x02hq,Loniten,Loniten,Minoxidil,,,Vasodilator Antihypertensive Drugs,False,False
