read_code,brand_name,term_description,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
bi1w.,Captopril,CAPTOPRIL 25mg tablets,Captopril,,25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1x.,Captopril,CAPTOPRIL 25mg tablets x56,Captopril,,25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1y.,Captopril,CAPTOPRIL 50mg tablets x56,Captopril,,50 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi1z.,Captopril,CAPTOPRIL 50mg tablets,Captopril,,50 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2..,Enalapril Maleate,ENALAPRIL MALEATE,Enalapril Maleate,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi21.,Innovace,INNOVACE 2.5mg tablets,Enalapril Maleate,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi22.,Innovace,INNOVACE 5mg tablets,Enalapril Maleate,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi23.,Innovace,INNOVACE 5mg tablets x28,Enalapril Maleate,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi24.,Innovace,INNOVACE 10mg tablets,Enalapril Maleate,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi25.,Innovace,INNOVACE 10mg tablets x28,Enalapril Maleate,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi26.,Innovace,INNOVACE 20mg tablets,Enalapril Maleate,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi27.,Innovace,INNOVACE 20mg tablets x28,Enalapril Maleate,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi28.,Innozide,INNOZIDE 20/12.5mg tablets,Enalapril Maleate,,12.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi29.,Innovace,INNOVACE tablets titration pack,Enalapril Maleate,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2a.,Enalapril Maleate,ENALAPRIL MALEATE tablets titration pack,Enalapril Maleate,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2A.,Enalapril Maleate,*ENALAPRIL MALEATE 2.5mg wafer,Enalapril Maleate,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2b.,Enalapril Maleate,ENALAPRIL MALEATE+HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets,Enalapril Maleate,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,True
bi2B.,Enalapril Maleate,*ENALAPRIL MALEATE 5mg wafer,Enalapril Maleate,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2C.,Enalapril Maleate,*ENALAPRIL MALEATE 10mg wafer,Enalapril Maleate,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2D.,Enalapril Maleate,*ENALAPRIL MALEATE 20mg wafer,Enalapril Maleate,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2E.,Innovace,*INNOVACE MELT 2.5mg wafer,Enalapril Maleate,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2F.,Innovace,*INNOVACE MELT 5mg wafer,Enalapril Maleate,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2G.,Innovace,*INNOVACE MELT 10mg wafer,Enalapril Maleate,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2H.,Innovace,*INNOVACE MELT 20mg wafer,Enalapril Maleate,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2J.,Pralenal,*PRALENAL 2.5mg tablets,Enalapril Maleate,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2K.,Pralenal,*PRALENAL 5mg tablets,Enalapril Maleate,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2L.,Pralenal,*PRALENAL 10mg tablets,Enalapril Maleate,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2M.,Pralenal,*PRALENAL 20mg tablets,Enalapril Maleate,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2t.,Enalapril Maleate,ENALAPRIL MALEATE 2.5mg tablets,Enalapril Maleate,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2u.,Enalapril Maleate,ENALAPRIL MALEATE 5mg tablets,Enalapril Maleate,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2v.,Enalapril Maleate,ENALAPRIL MALEATE 5mg tablets x28,Enalapril Maleate,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2w.,Enalapril Maleate,ENALAPRIL MALEATE 10mg tablets,Enalapril Maleate,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2x.,Enalapril Maleate,ENALAPRIL MALEATE 10mg tablets x28,Enalapril Maleate,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2y.,Enalapril Maleate,ENALAPRIL MALEATE 20mg tablets,Enalapril Maleate,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi2z.,Enalapril Maleate,ENALAPRIL MALEATE 20mg tablets x28,Enalapril Maleate,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3..,Lisinopril,LISINOPRIL,Lisinopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi31.,Lisinopril,LISINOPRIL 2.5mg tablets,Lisinopril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi32.,Lisinopril,LISINOPRIL 5mg tablets,Lisinopril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi33.,Lisinopril,LISINOPRIL 10mg tablets,Lisinopril,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi34.,Lisinopril,LISINOPRIL 20mg tablets,Lisinopril,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi35.,Carace,*CARACE 2.5mg tablets,Lisinopril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi36.,Carace,*CARACE 5mg tablets 28CP,Lisinopril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi37.,Carace,*CARACE 5mg tablets,Lisinopril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi38.,Carace,*CARACE 10mg tablets 28CP,Lisinopril,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi39.,Carace,*CARACE 10mg tablets,Lisinopril,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3a.,Carace,*CARACE 20mg tablets 28CP,Lisinopril,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3b.,Carace,*CARACE 20mg tablets,Lisinopril,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3c.,Zestril,*ZESTRIL 2.5mg tablets 28CP,Lisinopril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3d.,Zestril,*ZESTRIL 2.5mg tablets,Lisinopril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3e.,Zestril,ZESTRIL 5mg tablets 28CP,Lisinopril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3f.,Zestril,ZESTRIL 5mg tablets,Lisinopril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3g.,Zestril,ZESTRIL 10mg tablets 28CP,Lisinopril,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3h.,Zestril,ZESTRIL 10mg tablets,Lisinopril,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3i.,Zestril,ZESTRIL 20mg tablets 28CP,Lisinopril,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3j.,Zestril,ZESTRIL 20mg tablets,Lisinopril,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3k.,Carace,CARACE 20 PLUS tablets,Lisinopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3l.,Carace,*CARACE 10 PLUS tablets,Lisinopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3m.,Zestoretic,*ZESTORETIC tablets 28CP,Lisinopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3n.,Zestoretic,ZESTORETIC 20/12.5mg tablets,Lisinopril,,12.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3p.,Lisinopril,LISINOPRIL+HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets,Lisinopril,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,True
bi3q.,Zestril,*ZESTRIL 2.5mg starter pack,Lisinopril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3r.,Lisinopril,LISINOPRIL 2.5mg tablets starter pack,Lisinopril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3s.,Zestoretic,ZESTORETIC 10/12.5mg tablets,Lisinopril,,12.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3t.,Lisinopril,LISINOPRIL+HYDROCHLOROTHIAZIDE 10mg/12.5mg tablets,Lisinopril,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,True
bi3u.,Caralpha,*CARALPHA 10/12.5mg tablets,Lisinopril,,12.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3v.,Caralpha,*CARALPHA 20/12.5mg tablets,Lisinopril,,12.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3w.,Lisicostad,LISICOSTAD HCT 20/12.5mg tablets,Lisinopril,,12.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3x.,Lisicostad,LISICOSTAD HCT 10/12.5mg tablets,Lisinopril,,12.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi3y.,Lisinopril,LISINOPRIL 1mg/mL oral solution,Lisinopril,,1 mg/mL,Angiotensin-Converting Enzyme Inhibitors,False,False
bi44.,Accupro,ACCUPRO 5mg tablets 28CP,Quinapril Hydrochloride,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi45.,Accupro,ACCUPRO 10mg tablets 28CP,Quinapril Hydrochloride,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi46.,Accupro,ACCUPRO 20mg tablets 28CP,Quinapril Hydrochloride,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi47.,Accuretic,ACCURETIC tablets,Quinapril Hydrochloride,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi49.,Accupro,ACCUPRO 40mg tablets,Quinapril Hydrochloride,,40 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi4B.,Quinil,QUINIL 5mg tablets,Quinapril Hydrochloride,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi4C.,Quinil,QUINIL 10mg tablets,Quinapril Hydrochloride,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi4D.,Quinil,QUINIL 20mg tablets,Quinapril Hydrochloride,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi4E.,Quinil,QUINIL 40mg tablets,Quinapril Hydrochloride,,40 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi5..,Perindopril,PERINDOPRIL ERBUMINE,Perindopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi51.,Perindopril,PERINDOPRIL ERBUMINE 2mg tablets,Perindopril,,2 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi52.,Perindopril,PERINDOPRIL ERBUMINE 4mg tablets,Perindopril,,4 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi53.,Coversyl,*COVERSYL 2mg tablets,Perindopril,,2 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi54.,Coversyl,*COVERSYL 4mg tablets,Perindopril,,4 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi55.,Perindopril,PERINDOPRIL ERBUMINE+INDAPAMIDE 4mg/1.25mg tablets,Perindopril,,4 mg,Angiotensin-Converting Enzyme Inhibitors,False,True
bi56.,Coversyl,COVERSYL PLUS 4mg/1.25mg tablets,Perindopril,,4 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi57.,Perindopril,PERINDOPRIL ERBUMINE 8mg tablets,Perindopril,,8 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi58.,Coversyl,*COVERSYL 8mg tablets,Perindopril,,8 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6..,Ramipril,RAMIPRIL,Ramipril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi61.,Ramipril,RAMIPRIL 1.25mg capsules,Ramipril,,1.25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi62.,Ramipril,RAMIPRIL 2.5mg capsules,Ramipril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi63.,Ramipril,RAMIPRIL 5mg capsules,Ramipril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi64.,Tritace,*TRITACE 1.25mg capsules,Ramipril,,1.25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi65.,Tritace,*TRITACE 2.5mg capsules,Ramipril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi66.,Tritace,*TRITACE 5mg capsules,Ramipril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi67.,Ramipril,RAMIPRIL 10mg capsules,Ramipril,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi68.,Tritace,*TRITACE 10mg capsules,Ramipril,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi69.,Ramipril,RAMIPRIL 2.5mg+5mg+10mg capsules titration pack,Ramipril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6A.,Tritace,TRITACE Titration Pack capsules,Ramipril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6B.,Ramipril,RAMIPRIL 1.25mg tablets,Ramipril,,1.25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6C.,Ramipril,RAMIPRIL 2.5mg tablets,Ramipril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6D.,Ramipril,RAMIPRIL 5mg tablets,Ramipril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6E.,Ramipril,RAMIPRIL 10mg tablets,Ramipril,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6F.,Ramipril,RAMIPRIL 2.5mg+5mg+10mg tablets titration pack,Ramipril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6G.,Ramipril,RAMIPRIL 2.5mg/5mL oral solution,Ramipril,,5 mg/5 ml,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6o.,Tritace,TRITACE Titration Pack tablets,Ramipril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6p.,Ranace,*RANACE 10mg capsules,Ramipril,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6q.,Ranace,*RANACE 5mg capsules,Ramipril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6r.,Ranace,*RANACE 2.5mg capsules,Ramipril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6s.,Ranace,*RANACE 1.25mg capsules,Ramipril,,1.25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6t.,Lopace,*LOPACE 2.5mg capsules,Ramipril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6u.,Lopace,*LOPACE 5mg capsules,Ramipril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6v.,Lopace,*LOPACE 10mg capsules,Ramipril,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6w.,Tritace,TRITACE 10mg tablets,Ramipril,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6x.,Tritace,TRITACE 5mg tablets,Ramipril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6y.,Tritace,TRITACE 2.5mg tablets,Ramipril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi6z.,Tritace,TRITACE 1.25mg tablets,Ramipril,,1.25 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi73.,Staril,*STARIL 10mg tablets,Fosinopril Sodium,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi74.,Staril,*STARIL 20mg tablets,Fosinopril Sodium,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi8..,Cilazapril,CILAZAPRIL,Cilazapril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi81.,Cilazapril,CILAZAPRIL 250micrograms tablets,Cilazapril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi82.,Cilazapril,CILAZAPRIL 500micrograms tablets,Cilazapril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi83.,Cilazapril,*CILAZAPRIL 1mg tablets,Cilazapril,,1 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi84.,Cilazapril,*CILAZAPRIL 2.5mg tablets,Cilazapril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi85.,Vascace,*VASCACE 250micrograms tablets,Cilazapril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi86.,Vascace,*VASCACE 500micrograms tablets,Cilazapril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi87.,Vascace,*VASCACE 1mg tablets,Cilazapril,,1 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi88.,Vascace,*VASCACE 2.5mg tablets,Cilazapril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi89.,Vascace,*VASCACE 5mg tablets,Cilazapril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi8a.,Cilazapril,CILAZAPRIL 5mg tablets,Cilazapril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi9..,Trandolapril,TRANDOLAPRIL,Trandolapril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi91.,Trandolapril,TRANDOLAPRIL 500micrograms capsules,Trandolapril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi92.,Trandolapril,TRANDOLAPRIL 1mg capsules,Trandolapril,,1 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi93.,Trandolapril,TRANDOLAPRIL 2mg capsules,Trandolapril,,2 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi94.,Gopten,*GOPTEN 500micrograms capsules,Trandolapril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi95.,Gopten,*GOPTEN 1mg capsules,Trandolapril,,1 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi96.,Gopten,*GOPTEN 2mg capsules,Trandolapril,,2 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi97.,Odrik,*ODRIK 500micrograms capsules,Trandolapril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
bi98.,Odrik,*ODRIK 1mg capsules,Trandolapril,,1 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi99.,Odrik,*ODRIK 2mg capsules,Trandolapril,,2 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi9A.,Gopten,*GOPTEN 4mg capsules,Trandolapril,,4 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bi9z.,Trandolapril,TRANDOLAPRIL 4mg capsules,Trandolapril,,4 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biA1.,Moexipril Hydrochloride,MOEXIPRIL HYDROCHLORIDE 7.5mg tablets,Moexipril Hydrochloride,,7.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biA2.,Moexipril Hydrochloride,MOEXIPRIL HYDROCHLORIDE 15mg tablets,Moexipril Hydrochloride,,15 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biA3.,Perdix,PERDIX 7.5mg tablets,Moexipril Hydrochloride,,7.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biA4.,Perdix,PERDIX 15mg tablets,Moexipril Hydrochloride,,15 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biB..,Imidapril Hydrochloride,IMIDAPRIL HYDROCHLORIDE,Imidapril Hydrochloride,,,Angiotensin-Converting Enzyme Inhibitors,False,False
biB1.,Tanatril,TANATRIL 5mg tablets,Imidapril Hydrochloride,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biB2.,Tanatril,TANATRIL 10mg tablets,Imidapril Hydrochloride,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biB3.,Tanatril,TANATRIL 20mg tablets,Imidapril Hydrochloride,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biBx.,Imidapril Hydrochloride,IMIDAPRIL HYDROCHLORIDE 20mg tablets,Imidapril Hydrochloride,,20 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biBy.,Imidapril Hydrochloride,IMIDAPRIL HYDROCHLORIDE 5mg tablets,Imidapril Hydrochloride,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biBz.,Imidapril Hydrochloride,IMIDAPRIL HYDROCHLORIDE 10mg tablets,Imidapril Hydrochloride,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biC..,Perindopril,PERINDOPRIL ARGININE,Perindopril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
biC1.,Coversyl,COVERSYL ARGININE 2.5mg tablets,Perindopril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biC2.,Perindopril,PERINDOPRIL ARGININE 2.5mg tablets,Perindopril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biC3.,Coversyl,COVERSYL ARGININE 5mg tablets,Perindopril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biC4.,Perindopril,PERINDOPRIL ARGININE 5mg tablets,Perindopril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biC5.,Coversyl,COVERSYL ARGININE 10mg tablets,Perindopril,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biC6.,Perindopril,PERINDOPRIL ARGININE 10mg tablets,Perindopril,,10 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biC7.,Coversyl,COVERSYL ARGININE PLUS 5mg/1.25mg tablets,Perindopril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
biC8.,Perindopril,PERINDOPRIL ARGININE+INDAPAMIDE 5mg/1.25mg tablets,Perindopril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,True
bj11.,Arfonad,*ARFONAD 250mg/5mL injection,Trimetaphan Camsilate,,250 mg/5 ml,Ganglion-Blocking Drugs,False,False
bj1z.,Trimetaphan Camsyl,TRIMETAPHAN CAMSYLATE 250mg/5mL injection,Trimetaphan Camsilate,,250 mg/5 ml,Ganglion-Blocking Drugs,False,False
bk1..,Metirosine,METIROSINE,Metirosine,,,Alpha-Adrenoceptor Blocking Drugs,False,False
bk11.,Demser,*DEMSER 250mg capsules,Metirosine,,250 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bk1z.,Metirosine,*METIROSINE 250mg capsules,Metirosine,,250 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bk21.,Hypercal,*HYPERCAL-B tablets,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
bk22.,Seominal,*SEOMINAL tablets,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
bk3..,Losartan,LOSARTAN,Losartan Potassium,,,Angiotensin-II Receptor Antagonists,False,False
bk31.,Losartan Pot,LOSARTAN POTASSIUM 25mg tablets,Losartan Potassium,,25 mg,Angiotensin-II Receptor Antagonists,False,False
bk32.,Losartan Pot,LOSARTAN POTASSIUM 50mg tablets,Losartan Potassium,,50 mg,Angiotensin-II Receptor Antagonists,False,False
bk33.,Cozaar,COZAAR HALF-STRENGTH 25mg tablets,Losartan Potassium,,25 mg,Angiotensin-II Receptor Antagonists,False,False
bk34.,Cozaar,COZAAR 50mg tablets,Losartan Potassium,,50 mg,Angiotensin-II Receptor Antagonists,False,False
bk35.,Losartan Pot,LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 50mg/12.5mg tablets,Losartan Potassium,,50 mg,Angiotensin-II Receptor Antagonists,False,True
bk36.,Cozaar,COZAAR-COMP 50mg/12.5mg tablets,Losartan Potassium,,50 mg,Angiotensin-II Receptor Antagonists,False,False
bk37.,Losartan Pot,LOSARTAN POTASSIUM 100mg tablets,Losartan Potassium,,100 mg,Angiotensin-II Receptor Antagonists,False,False
bk38.,Cozaar,COZAAR 100mg tablets,Losartan Potassium,,100 mg,Angiotensin-II Receptor Antagonists,False,False
bk39.,Cozaar,COZAAR-COMP 100mg/25mg tablets,Losartan Potassium,,100 mg,Angiotensin-II Receptor Antagonists,False,False
bk3A.,Cozaar,COZAAR-COMP 100mg/12.5mg tablets,Losartan Potassium,,100 mg,Angiotensin-II Receptor Antagonists,False,False
bk3B.,Cozaar,COZAAR 12.5mg tablets,Losartan Potassium,,12.5 mg,Angiotensin-II Receptor Antagonists,False,False
bk3C.,Losartan Pot,LOSARTAN POTASSIUM 12.5mg tablets,Losartan Potassium,,12.5 mg,Angiotensin-II Receptor Antagonists,False,False
bk3D.,Cozaar,COZAAR 2.5mg/mL oral suspension,Losartan Potassium,,5 mg/mL,Angiotensin-II Receptor Antagonists,False,False
bk3E.,Losartan Pot,LOSARTAN POTASSIUM 2.5mg/mL oral suspension,Losartan Potassium,,5 mg/mL,Angiotensin-II Receptor Antagonists,False,False
bk3y.,Losartan Pot,LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 100mg/12.5mg tablets,Losartan Potassium,,100 mg,Angiotensin-II Receptor Antagonists,False,True
bk3z.,Losartan Pot,LOSARTAN POTASSIUM+HYDROCHLOROTHIAZIDE 100mg/25mg tablets,Losartan Potassium,,100 mg,Angiotensin-II Receptor Antagonists,False,True
bk4..,Valsartan,VALSARTAN,Valsartan,,,Angiotensin-II Receptor Antagonists,False,False
bk41.,Valsartan,VALSARTAN 40mg capsules,Valsartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bk42.,Valsartan,VALSARTAN 80mg capsules,Valsartan,,80 mg,Angiotensin-II Receptor Antagonists,False,False
bk43.,Valsartan,VALSARTAN 160mg capsules,Valsartan,,160 mg,Angiotensin-II Receptor Antagonists,False,False
bk44.,Diovan,DIOVAN 40mg capsules,Valsartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bk45.,Diovan,DIOVAN 80mg capsules,Valsartan,,80 mg,Angiotensin-II Receptor Antagonists,False,False
bk46.,Diovan,DIOVAN 160mg capsules,Valsartan,,160 mg,Angiotensin-II Receptor Antagonists,False,False
bk47.,Diovan,CO-DIOVAN 160mg/12.5mg tablets,Valsartan,,160 mg,Angiotensin-II Receptor Antagonists,False,False
bk48.,Diovan,CO-DIOVAN 160mg/25mg tablets,Valsartan,,160 mg,Angiotensin-II Receptor Antagonists,False,False
bk49.,Diovan,CO-DIOVAN 80mg/12.5mg tablets,Valsartan,,80 mg,Angiotensin-II Receptor Antagonists,False,False
bk4A.,Diovan,DIOVAN 40mg tablets,Valsartan,,40 mg,Angiotensin-II Receptor Antagonists,False,False
bk4B.,Diovan,DIOVAN 320mg tablets,Valsartan,,320 mg,Angiotensin-II Receptor Antagonists,False,False
bk4C.,Diovan,DIOVAN 3mg/mL oral solution,Valsartan,,3 mg/mL,Angiotensin-II Receptor Antagonists,False,False
bk4s.,Valsartan,VALSARTAN 80mg tablets,Valsartan,,80 mg,Angiotensin-II Receptor Antagonists,False,False
bk4t.,Valsartan,VALSARTAN 160mg tablets,Valsartan,,160 mg,Angiotensin-II Receptor Antagonists,False,False
